Rk,Season,Lg,Age,Ht,Wt,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg,TS%
55,1970-71,NBA,26.6,6-6,205,697,241.0,44.0,98.0,,,24.3,32.7,,,53.1,24.3,,,19.5,24.4,112.4,.449,,.745,,.449,14.8,,.248,,.500
56,1969-70,NBA,26.8,6-6,205,574,241.6,45.7,99.4,,,25.3,33.7,,,52.9,24.7,,,1.5,25.1,116.7,.460,,.751,,.460,1.3,,.255,,.511
57,1968-69,NBA,26.9,6-6,207,574,241.4,43.7,99.0,,,25.0,35.0,,,56.9,23.1,,,1.3,25.5,112.3,.441,,.714,,.441,1.1,,.252,,.491
58,1967-68,NBA,26.8,6-6,206,492,241.4,45.0,100.8,,,26.7,37.1,,,66.2,22.8,,,,26.3,116.6,.446,,.720,,.446,,,.265,,.498
59,1966-67,NBA,26.6,6-6,206,405,241.3,45.5,103.1,,,26.5,36.2,,,67.3,22.4,,,,26.2,117.4,.441,,.732,,.441,,,.257,,.493
60,1965-66,NBA,26.6,6-6,207,360,240.5,44.3,102.4,,,26.9,37.0,,,68.2,22.9,,,,26.2,115.5,.433,,.727,,.433,,,.262,,.487
61,1964-65,NBA,26.4,6-6,208,360,241.7,42.5,99.8,,,25.6,35.6,,,67.3,21.0,,,,25.9,110.6,.426,,.721,,.426,,,.257,,.479
62,1963-64,NBA,26.4,6-6,207,360,,42.9,99.1,,,25.3,35.0,,,65.9,21.4,,,,26.8,111.0,.433,,.722,,.433,,,.255,,.485
63,1962-63,NBA,26.3,6-6,205,360,,44.6,101.2,,,26.1,35.9,,,66.7,22.7,,,,26.0,115.3,.441,,.727,,.441,,,.258,,.493
64,1961-62,NBA,26.4,6-5,205,360,,45.9,107.7,,,27.0,37.1,,,71.4,23.9,,,,25.9,118.8,.426,,.727,,.426,,,.250,,.479
65,1960-61,NBA,26.4,6-5,205,316,,45.4,109.4,,,27.4,37.4,,,73.3,24.2,,,,26.8,118.1,.415,,.733,,.415,,,.250,,.469
66,1959-60,NBA,26.5,6-5,204,300,,44.5,108.7,,,26.3,35.8,,,73.5,22.6,,,,25.6,115.3,.410,,.735,,.410,,,.242,,.463
67,1958-59,NBA,26.4,6-5,202,288,,40.4,102.3,,,27.4,36.3,,,70.0,19.6,,,,26.0,108.2,.395,,.756,,.395,,,.268,,.457
68,1957-58,NBA,26.8,6-5,202,288,,39.0,101.9,,,28.6,38.3,,,71.7,19.6,,,,25.5,106.6,.383,,.746,,.383,,,.281,,.449
69,1956-57,NBA,26.2,6-5,201,288,,35.9,94.6,,,27.7,36.9,,,62.4,18.9,,,,25.1,99.6,.380,,.751,,.380,,,.293,,.449
70,1955-56,NBA,26.3,6-5,200,288,,35.3,91.4,,,28.4,38.0,,,60.1,24.3,,,,26.4,99.0,.387,,.745,,.387,,,.310,,.458
71,1954-55,NBA,26.7,6-5,197,288,,33.3,86.4,,,26.5,35.9,,,56.1,23.6,,,,24.8,93.1,.385,,.738,,.385,,,.307,,.455
72,1953-54,NBA,26.4,6-4,197,324,,28.1,75.4,,,23.4,33.0,,,50.9,20.3,,,,25.4,79.5,.372,,.709,,.372,,,.311,,.442
73,1952-53,NBA,26.4,6-4,196,351,,28.5,77.1,,,25.7,35.9,,,51.5,21.0,,,,28.8,82.7,.370,,.716,,.370,,,.333,,.445
74,1951-52,NBA,26.3,6-4,195,330,,29.6,80.8,,,24.4,33.2,,,54.5,21.9,,,,26.9,83.7,.367,,.735,,.367,,,.302,,.438
75,1950-51,NBA,,,,354,,29.8,83.6,,,24.5,33.4,,,49.5,21.0,,,,27.0,84.1,.357,,.733,,.357,,,.293,,.428
76,1949-50,NBA,,,,561,,28.2,83.1,,,23.6,33.0,,,,19.6,,,,27.0,80.0,.340,,.714,,.340,,,.284,,.410
77,1948-49,BAA,,,,360,,29.0,88.7,,,22.0,31.3,,,,18.6,,,,25.6,80.0,.327,,.703,,.327,,,.248,,.390
78,1947-48,BAA,,,,192,,27.2,96.0,,,18.2,27.0,,,,7.0,,,,22.2,72.7,.284,,.675,,.284,,,.190,,.337
79,1946-47,BAA,,,,331,,25.9,92.9,,,15.9,24.8,,,,6.9,,,,20.8,67.8,.279,,.641,,.279,,,.171,,.326
